Instance Name       Completion Time     Objective Value     Obj. Func. LB       Gap                 Nb. of ULs          Nb. of Desired ULs  Grid Occupancy      UL Occupancy        
Instance_274_large  6.065400            802                 0                   0                   200                 21                  -                   -                   
Instance_275_large  5.966200            633                 0                   0                   200                 21                  -                   -                   
Instance_276_large  6.400900            689                 0                   0                   200                 21                  -                   -                   
Instance_277_large  6.148700            708                 0                   0                   200                 21                  -                   -                   
Instance_278_large  5.787000            540                 0                   0                   200                 21                  -                   -                   
Instance_279_large  5.412800            956                 0                   0                   200                 21                  -                   -                   
Instance_27_large   6.020100            1631                0                   0                   400                 18                  -                   -                   
Instance_280_large  5.642100            719                 0                   0                   200                 21                  -                   -                   
Instance_281_large  6.142900            1058                0                   0                   300                 21                  -                   -                   
Instance_282_large  6.510900            1341                0                   0                   300                 21                  -                   -                   
Instance_283_large  6.941300            1205                0                   0                   300                 21                  -                   -                   
Instance_284_large  6.448800            917                 0                   0                   300                 21                  -                   -                   
Instance_285_large  6.425800            1204                0                   0                   300                 21                  -                   -                   
Instance_286_large  6.197400            1513                0                   0                   300                 21                  -                   -                   
Instance_287_large  6.443700            1180                0                   0                   300                 21                  -                   -                   
Instance_288_large  6.066400            1119                0                   0                   300                 21                  -                   -                   
Instance_289_large  6.307100            1261                0                   0                   300                 21                  -                   -                   
Instance_28_large   5.551500            1482                0                   0                   400                 18                  -                   -                   
Instance_290_large  7.232000            1366                0                   0                   300                 21                  -                   -                   
Instance_291_large  6.488400            1750                0                   0                   400                 21                  -                   -                   
Instance_292_large  6.325500            1429                0                   0                   400                 21                  -                   -                   
Instance_293_large  6.540300            1797                0                   0                   400                 21                  -                   -                   
Instance_294_large  6.354800            1468                0                   0                   400                 21                  -                   -                   
Instance_295_large  6.277500            1666                0                   0                   400                 21                  -                   -                   
Instance_296_large  6.269500            1736                0                   0                   400                 21                  -                   -                   
Instance_297_large  6.374500            1789                0                   0                   400                 21                  -                   -                   
Instance_298_large  6.274400            1165                0                   0                   400                 21                  -                   -                   
Instance_299_large  6.469000            1391                0                   0                   400                 21                  -                   -                   
Instance_29_large   5.691600            1151                0                   0                   400                 18                  -                   -                   
Instance_2_large    4.937300            685                 0                   0                   200                 18                  -                   -                   
Instance_300_large  6.711700            1937                0                   0                   400                 21                  -                   -                   
Instance_301_large  7.295200            1125                0                   0                   240                 21                  -                   -                   
Instance_302_large  7.361700            1300                0                   0                   240                 21                  -                   -                   
Instance_303_large  6.142200            891                 0                   0                   240                 21                  -                   -                   
Instance_304_large  7.203300            975                 0                   0                   240                 21                  -                   -                   
Instance_305_large  7.409600            900                 0                   0                   240                 21                  -                   -                   
Instance_306_large  6.248600            773                 0                   0                   240                 21                  -                   -                   
Instance_307_large  6.177100            688                 0                   0                   240                 21                  -                   -                   
Instance_308_large  6.425200            777                 0                   0                   240                 21                  -                   -                   
Instance_309_large  6.770000            961                 0                   0                   240                 21                  -                   -                   
Instance_30_large   5.878200            1280                0                   0                   400                 18                  -                   -                   
Instance_310_large  6.518200            1010                0                   0                   240                 21                  -                   -                   
Instance_311_large  7.550200            1308                0                   0                   360                 21                  -                   -                   
Instance_312_large  7.107000            1488                0                   0                   360                 21                  -                   -                   
Instance_313_large  7.527900            1526                0                   0                   360                 21                  -                   -                   
Instance_314_large  7.051300            1352                0                   0                   360                 21                  -                   -                   
Instance_315_large  6.916600            1731                0                   0                   360                 21                  -                   -                   
Instance_316_large  6.646600            1846                0                   0                   360                 21                  -                   -                   
Instance_317_large  6.842100            2051                0                   0                   360                 21                  -                   -                   
Instance_318_large  7.174400            1169                0                   0                   360                 21                  -                   -                   
Instance_319_large  7.350700            1502                0                   0                   360                 21                  -                   -                   
Instance_31_large   5.516500            820                 0                   0                   240                 18                  -                   -                   
Instance_320_large  7.261500            1652                0                   0                   360                 21                  -                   -                   
Instance_321_large  7.295700            2084                0                   0                   480                 21                  -                   -                   
Instance_322_large  7.646900            2034                0                   0                   480                 21                  -                   -                   
Instance_323_large  6.956300            2549                0                   0                   480                 21                  -                   -                   
Instance_324_large  7.083400            2706                0                   0                   480                 21                  -                   -                   
Instance_325_large  7.212300            2514                0                   0                   480                 21                  -                   -                   
Instance_326_large  7.302100            1727                0                   0                   480                 21                  -                   -                   
Instance_327_large  7.253000            2624                0                   0                   480                 21                  -                   -                   
Instance_328_large  6.983900            2338                0                   0                   480                 21                  -                   -                   
Instance_329_large  7.285100            2161                0                   0                   480                 21                  -                   -                   
Instance_32_large   5.583000            794                 0                   0                   240                 18                  -                   -                   
Instance_330_large  7.105700            2427                0                   0                   480                 21                  -                   -                   
Instance_331_large  6.797900            1109                0                   0                   280                 21                  -                   -                   
Instance_332_large  7.074100            1220                0                   0                   280                 21                  -                   -                   
Instance_333_large  6.973400            1627                0                   0                   280                 21                  -                   -                   
Instance_334_large  7.082900            939                 0                   0                   280                 21                  -                   -                   
Instance_335_large  7.013000            1111                0                   0                   280                 21                  -                   -                   
Instance_336_large  6.754800            735                 0                   0                   280                 21                  -                   -                   
Instance_337_large  7.127900            1205                0                   0                   280                 21                  -                   -                   
Instance_338_large  7.140100            909                 0                   0                   280                 21                  -                   -                   
Instance_339_large  7.728000            1019                0                   0                   280                 21                  -                   -                   
Instance_33_large   6.192500            740                 0                   0                   240                 18                  -                   -                   
Instance_340_large  7.184900            939                 0                   0                   280                 21                  -                   -                   
Instance_341_large  8.209500            1551                0                   0                   420                 21                  -                   -                   
Instance_342_large  8.059400            1733                0                   0                   420                 21                  -                   -                   
Instance_343_large  8.243400            2486                0                   0                   420                 21                  -                   -                   
Instance_344_large  8.084100            2491                0                   0                   420                 21                  -                   -                   
Instance_345_large  8.199200            1595                0                   0                   420                 21                  -                   -                   
Instance_346_large  8.048800            1970                0                   0                   420                 21                  -                   -                   
Instance_347_large  7.997100            2069                0                   0                   420                 21                  -                   -                   
Instance_348_large  7.993600            2153                0                   0                   420                 21                  -                   -                   
Instance_349_large  7.963000            2560                0                   0                   420                 21                  -                   -                   
Instance_34_large   5.645700            777                 0                   0                   240                 18                  -                   -                   
Instance_350_large  7.944700            1347                0                   0                   420                 21                  -                   -                   
Instance_351_large  8.299600            1559                0                   0                   560                 21                  -                   -                   
Instance_352_large  8.020700            1854                0                   0                   560                 21                  -                   -                   
Instance_353_large  8.236900            2110                0                   0                   560                 21                  -                   -                   
Instance_354_large  7.686800            2597                0                   0                   560                 21                  -                   -                   
Instance_355_large  7.692500            2622                0                   0                   560                 21                  -                   -                   
Instance_356_large  12.114300           2952                0                   0                   560                 21                  -                   -                   
Instance_357_large  7.944900            2274                0                   0                   560                 21                  -                   -                   
Instance_358_large  7.622200            1999                0                   0                   560                 21                  -                   -                   
Instance_359_large  7.788400            2474                0                   0                   560                 21                  -                   -                   
Instance_35_large   5.579900            833                 0                   0                   240                 18                  -                   -                   
Instance_360_large  8.305500            1317                0                   0                   560                 21                  -                   -                   
Instance_361_large  6.077300            1083                0                   0                   240                 21                  -                   -                   
Instance_362_large  6.030400            870                 0                   0                   240                 21                  -                   -                   
Instance_363_large  6.343100            990                 0                   0                   240                 21                  -                   -                   
Instance_364_large  6.222900            1235                0                   0                   240                 21                  -                   -                   
Instance_365_large  5.452200            1137                0                   0                   240                 21                  -                   -                   
Instance_366_large  6.502600            1016                0                   0                   240                 21                  -                   -                   
Instance_367_large  6.745100            1228                0                   0                   240                 21                  -                   -                   
Instance_368_large  6.198100            1054                0                   0                   240                 21                  -                   -                   
Instance_369_large  6.247400            1165                0                   0                   240                 21                  -                   -                   
Instance_36_large   5.420700            999                 0                   0                   240                 18                  -                   -                   
Instance_370_large  6.219400            1163                0                   0                   240                 21                  -                   -                   
Instance_371_large  7.369300            1636                0                   0                   360                 21                  -                   -                   
Instance_372_large  6.739100            1804                0                   0                   360                 21                  -                   -                   
Instance_373_large  6.731100            1140                0                   0                   360                 21                  -                   -                   
Instance_374_large  7.068400            1391                0                   0                   360                 21                  -                   -                   
Instance_375_large  6.687600            1732                0                   0                   360                 21                  -                   -                   
Instance_376_large  6.773100            1631                0                   0                   360                 21                  -                   -                   
Instance_377_large  7.294000            1644                0                   0                   360                 21                  -                   -                   
Instance_378_large  6.724900            1939                0                   0                   360                 21                  -                   -                   
Instance_379_large  7.044300            1422                0                   0                   360                 21                  -                   -                   
Instance_37_large   5.556300            788                 0                   0                   240                 18                  -                   -                   
Instance_380_large  6.994600            1541                0                   0                   360                 21                  -                   -                   
Instance_381_large  7.006400            1860                0                   0                   480                 21                  -                   -                   
Instance_382_large  7.175500            1835                0                   0                   480                 21                  -                   -                   
Instance_383_large  6.954800            2094                0                   0                   480                 21                  -                   -                   
Instance_384_large  7.245900            2296                0                   0                   480                 21                  -                   -                   
Instance_385_large  7.939100            2493                0                   0                   480                 21                  -                   -                   
Instance_386_large  7.002300            3040                0                   0                   480                 21                  -                   -                   
Instance_387_large  7.262500            1913                0                   0                   480                 21                  -                   -                   
Instance_388_large  7.076800            2877                0                   0                   480                 21                  -                   -                   
Instance_389_large  6.819400            2589                0                   0                   480                 21                  -                   -                   
Instance_38_large   5.796900            791                 0                   0                   240                 18                  -                   -                   
Instance_390_large  7.047600            1918                0                   0                   480                 21                  -                   -                   
Instance_391_large  6.589400            1377                0                   0                   288                 21                  -                   -                   
Instance_392_large  7.047000            999                 0                   0                   288                 21                  -                   -                   
Instance_393_large  6.611700            1480                0                   0                   288                 21                  -                   -                   
Instance_394_large  7.816400            1105                0                   0                   288                 21                  -                   -                   
Instance_395_large  6.646500            1247                0                   0                   288                 21                  -                   -                   
Instance_396_large  6.686700            1260                0                   0                   288                 21                  -                   -                   
Instance_397_large  6.407700            1062                0                   0                   288                 21                  -                   -                   
Instance_398_large  6.786400            1030                0                   0                   288                 21                  -                   -                   
Instance_399_large  6.892500            870                 0                   0                   288                 21                  -                   -                   
Instance_39_large   6.259800            883                 0                   0                   240                 18                  -                   -                   
Instance_3_large    5.491800            853                 0                   0                   200                 18                  -                   -                   
Instance_400_large  6.924400            1339                0                   0                   288                 21                  -                   -                   
Instance_401_large  7.709300            1825                0                   0                   432                 21                  -                   -                   
Instance_402_large  8.098000            1856                0                   0                   432                 21                  -                   -                   
Instance_403_large  8.078600            1747                0                   0                   432                 21                  -                   -                   
Instance_404_large  7.607900            2679                0                   0                   432                 21                  -                   -                   
Instance_405_large  8.119100            2247                0                   0                   432                 21                  -                   -                   
Instance_406_large  7.547700            1571                0                   0                   432                 21                  -                   -                   
Instance_407_large  8.085300            1529                0                   0                   432                 21                  -                   -                   
Instance_408_large  7.851200            1582                0                   0                   432                 21                  -                   -                   
Instance_409_large  7.825500            1616                0                   0                   432                 21                  -                   -                   
Instance_40_large   5.879400            923                 0                   0                   240                 18                  -                   -                   
Instance_410_large  7.577800            2182                0                   0                   432                 21                  -                   -                   
Instance_411_large  7.850200            2173                0                   0                   576                 21                  -                   -                   
Instance_412_large  8.548100            2330                0                   0                   576                 21                  -                   -                   
Instance_413_large  7.448200            3249                0                   0                   576                 21                  -                   -                   
Instance_414_large  7.942700            2684                0                   0                   576                 21                  -                   -                   
Instance_415_large  7.825100            3372                0                   0                   576                 21                  -                   -                   
Instance_416_large  8.044100            2735                0                   0                   576                 21                  -                   -                   
Instance_417_large  8.073800            2455                0                   0                   576                 21                  -                   -                   
Instance_418_large  7.739500            2440                0                   0                   576                 21                  -                   -                   
Instance_419_large  7.521600            2850                0                   0                   576                 21                  -                   -                   
Instance_41_large   6.120100            1059                0                   0                   360                 18                  -                   -                   
Instance_420_large  7.969900            2272                0                   0                   576                 21                  -                   -                   
Instance_421_large  7.072400            1262                0                   0                   336                 21                  -                   -                   
Instance_422_large  7.275000            1803                0                   0                   336                 21                  -                   -                   
Instance_423_large  8.409800            1898                0                   0                   336                 21                  -                   -                   
Instance_424_large  8.316000            1365                0                   0                   336                 21                  -                   -                   
Instance_425_large  8.250300            1763                0                   0                   336                 21                  -                   -                   
Instance_426_large  8.143800            923                 0                   0                   336                 21                  -                   -                   
Instance_427_large  7.598700            1040                0                   0                   336                 21                  -                   -                   
Instance_428_large  7.365100            1986                0                   0                   336                 21                  -                   -                   
Instance_429_large  9.119700            1219                0                   0                   336                 21                  -                   -                   
Instance_42_large   6.116500            1318                0                   0                   360                 18                  -                   -                   
Instance_430_large  6.773200            1642                0                   0                   336                 21                  -                   -                   
Instance_431_large  8.522500            2400                0                   0                   504                 21                  -                   -                   
Instance_432_large  8.448500            2856                0                   0                   504                 21                  -                   -                   
Instance_433_large  8.915000            1713                0                   0                   504                 21                  -                   -                   
Instance_434_large  8.634400            3191                0                   0                   504                 21                  -                   -                   
Instance_435_large  8.568400            1803                0                   0                   504                 21                  -                   -                   
Instance_436_large  8.674900            2570                0                   0                   504                 21                  -                   -                   
Instance_437_large  8.683400            2391                0                   0                   504                 21                  -                   -                   
Instance_438_large  9.046200            1731                0                   0                   504                 21                  -                   -                   
Instance_439_large  8.654300            2251                0                   0                   504                 21                  -                   -                   
Instance_43_large   6.441500            1659                0                   0                   360                 18                  -                   -                   
Instance_440_large  9.819800            1694                0                   0                   504                 21                  -                   -                   
Instance_441_large  8.547700            3138                0                   0                   672                 21                  -                   -                   
Instance_442_large  8.904600            3126                0                   0                   672                 21                  -                   -                   
Instance_443_large  8.547700            1985                0                   0                   672                 21                  -                   -                   
Instance_444_large  8.586800            3463                0                   0                   672                 21                  -                   -                   
Instance_445_large  8.765000            3010                0                   0                   672                 21                  -                   -                   
Instance_446_large  8.258000            2559                0                   0                   672                 21                  -                   -                   
Instance_447_large  8.872700            2343                0                   0                   672                 21                  -                   -                   
Instance_448_large  8.596100            3539                0                   0                   672                 21                  -                   -                   
Instance_449_large  8.778000            3131                0                   0                   672                 21                  -                   -                   
Instance_44_large   5.963100            1526                0                   0                   360                 18                  -                   -                   
Instance_450_large  8.676700            2667                0                   0                   672                 21                  -                   -                   
Instance_451_large  6.274700            1154                0                   0                   280                 21                  -                   -                   
Instance_452_large  7.072600            1124                0                   0                   280                 21                  -                   -                   
