
Instance Name       Completion Time     Objective Value     Obj. Func. LB       Gap                 Nb. of ULs          Nb. of Desired ULs  Grid Occupancy      UL Occupancy        
Instance_136_large  600173.937100       1699.000000         1684.000000         0.008829            432                 18                  0.750000            0.041667            
Instance_137_large  600068.713300       1816.000000         1810.000000         0.003304            432                 18                  0.750000            0.041667            
Instance_138_large  600123.246000       1694.000000         1652.000000         0.024793            432                 18                  0.750000            0.041667            
Instance_139_large  167128.157800       1711.000000         1711.000000         0.000000            432                 18                  0.750000            0.041667            
Instance_140_large  392606.834800       1894.000000         1894.000000         0.000000            432                 18                  0.750000            0.041667            
Instance_141_large  600062.054300       1562.000000         1540.000000         0.014085            576                 18                  1.000000            0.031250            
Instance_142_large  600173.964500       1243.000000         1223.000000         0.016090            576                 18                  1.000000            0.031250            
Instance_143_large  600027.542300       1812.000000         1798.000000         0.007726            576                 18                  1.000000            0.031250            
Instance_144_large  601033.653000       2429.000000         2374.000000         0.022643            576                 18                  1.000000            0.031250            
Instance_145_large  108666.705400       2250.000000         2250.000000         0.000000            576                 18                  1.000000            0.031250            
Instance_146_large  600175.263600       2123.000000         2110.000000         0.006123            576                 18                  1.000000            0.031250            
Instance_147_large  600256.905100       1517.000000         1480.000000         0.024390            576                 18                  1.000000            0.031250            
Instance_148_large  600060.354700       1758.000000         1741.000000         0.009670            576                 18                  1.000000            0.031250            
Instance_149_large  600083.876600       2105.000000         2088.000000         0.008076            576                 18                  1.000000            0.031250            
Instance_150_large  600140.501200       2289.000000         2279.000000         0.004369            576                 18                  1.000000            0.031250            
Instance_151_large  214687.010500       1282.000000         1282.000000         0.000000            336                 18                  0.545455            0.053571            
Instance_152_large  82360.521400        941.000000          941.000000          0.000000            336                 18                  0.571429            0.053571            
Instance_153_large  220711.736100       1171.000000         1171.000000         0.000000            336                 18                  0.600000            0.053571            
Instance_154_large  63210.343300        1092.000000         1092.000000         0.000000            336                 18                  0.631579            0.053571            
Instance_155_large  177834.246100       732.000000          732.000000          0.000000            336                 18                  0.631579            0.053571            
Instance_156_large  600166.676100       1050.000000         1046.000000         0.003810            336                 18                  0.631579            0.053571            
Instance_157_large  375049.308300       953.000000          953.000000          0.000000            336                 18                  0.666667            0.053571            
Instance_158_large  36464.034500        685.000000          685.000000          0.000000            336                 18                  0.666667            0.053571            
Instance_159_large  294764.256300       1011.000000         1011.000000         0.000000            336                 18                  0.666667            0.053571            
Instance_160_large  317603.456700       1049.000000         1049.000000         0.000000            336                 18                  0.705882            0.053571            
Instance_161_large  600123.759300       2393.000000         2384.000000         0.003761            504                 18                  0.750000            0.035714            
Instance_162_large  600089.215300       1588.000000         1578.000000         0.006297            504                 18                  0.750000            0.035714            
Instance_163_large  600383.613700       1686.000000         1680.000000         0.003559            504                 18                  0.750000            0.035714            
Instance_164_large  225746.041700       1896.000000         1896.000000         0.000000            504                 18                  0.750000            0.035714            
Instance_165_large  600659.178800       2003.000000         1990.000000         0.006490            504                 18                  0.750000            0.035714            
Instance_166_large  600046.965000       1886.000000         1881.000000         0.002651            504                 18                  0.750000            0.035714            
Instance_167_large  600016.340600       1796.000000         1780.000000         0.008909            504                 18                  0.750000            0.035714            
Instance_168_large  600165.949300       1719.000000         1699.000000         0.011635            504                 18                  0.750000            0.035714            
Instance_169_large  600238.392000       1715.000000         1714.000000         0.000583            504                 18                  0.750000            0.035714            
Instance_170_large  338730.141300       1872.000000         1872.000000         0.000000            504                 18                  0.750000            0.035714            
Instance_171_large  598309.644000       2642.000000         2628.000000         0.005299            672                 18                  1.000000            0.026786            
Instance_172_large  600204.404700       2507.000000         2495.000000         0.004787            672                 18                  1.000000            0.026786            
Instance_173_large  426522.163700       3195.000000         3195.000000         0.000000            672                 18                  1.000000            0.026786            
Instance_174_large  600130.002300       2745.000000         2702.000000         0.015665            672                 18                  1.000000            0.026786            
Instance_175_large  600416.589500       2445.000000         2420.000000         0.010225            672                 18                  1.000000            0.026786            
Instance_176_large  600156.635500       2542.000000         2521.000000         0.008261            672                 18                  1.000000            0.026786            
Instance_177_large  600120.277100       2087.000000         2075.000000         0.005750            672                 18                  1.000000            0.026786            
Instance_178_large  600116.002000       2112.000000         2110.000000         0.000947            672                 18                  1.000000            0.026786            
Instance_179_large  284628.660500       2520.000000         2520.000000         0.000000            672                 18                  1.000000            0.026786            
Instance_180_large  600162.996400       1692.000000         1673.000000         0.011229            672                 18                  1.000000            0.026786            
Instance_181_large  600269.490900       803.000000          797.000000          0.007472            280                 18                  0.608696            0.064286            
Instance_182_large  323953.828700       872.000000          872.000000          0.000000            280                 18                  0.538462            0.064286            
Instance_183_large  256527.873400       1197.000000         1197.000000         0.000000            280                 18                  0.636364            0.064286            
Instance_184_large  435795.974900       855.000000          855.000000          0.000000            280                 18                  0.700000            0.064286            
Instance_185_large  558698.077000       842.000000          842.000000          0.000000            280                 18                  0.700000            0.064286            
