Instance Name       Completion Time     Objective Value     Obj. Func. LB       Gap                 Nb. of ULs          Nb. of Desired ULs  Grid Occupancy      UL Occupancy        
Instance_229_large  30010.988200        1355.000000         1290.000000         0.047970            504                 18                  0.750000            0.035714            
Instance_22_large   30011.011500        1417.000000         1343.000000         0.052223            400                 18                  1.000000            0.045000            
Instance_230_large  30001.231400        2003.000000         1930.000000         0.036445            504                 18                  0.750000            0.035714            
Instance_231_large  30005.700300        2093.000000         2081.000000         0.005733            672                 18                  1.000000            0.026786            
Instance_232_large  30005.763000        2288.000000         2226.000000         0.027098            672                 18                  1.000000            0.026786            
Instance_233_large  30007.329000        2637.000000         2603.000000         0.012893            672                 18                  1.000000            0.026786            
Instance_234_large  29999.122900        2518.000000         2448.000000         0.027800            672                 18                  1.000000            0.026786            
Instance_235_large  29993.441600        4010.000000         3955.000000         0.013716            672                 18                  1.000000            0.026786            
Instance_236_large  30004.862200        2810.000000         2764.000000         0.016370            672                 18                  1.000000            0.026786            
Instance_237_large  29998.739200        2878.000000         2806.000000         0.025017            672                 18                  1.000000            0.026786            
Instance_238_large  30011.517100        3150.000000         3118.000000         0.010159            672                 18                  1.000000            0.026786            
Instance_239_large  30007.103600        2552.000000         2497.000000         0.021552            672                 18                  1.000000            0.026786            
Instance_23_large   30002.717300        1298.000000         1236.000000         0.047766            400                 18                  1.000000            0.045000            
Instance_240_large  30010.258300        2553.000000         2479.000000         0.028986            672                 18                  1.000000            0.026786            
Instance_241_large  30008.393200        954.000000          947.000000          0.007338            392                 18                  0.583333            0.045918            
Instance_242_large  30010.488000        1435.000000         1381.000000         0.037631            392                 18                  0.700000            0.045918            
Instance_243_large  30012.732600        1177.000000         1116.000000         0.051827            392                 18                  0.636364            0.045918            
Instance_244_large  30005.179500        1547.000000         1505.000000         0.027149            392                 18                  0.636364            0.045918            
Instance_245_large  30006.333100        1094.000000         965.000000          0.117916            392                 18                  0.636364            0.045918            
Instance_246_large  29998.709400        1308.000000         1263.000000         0.034404            392                 18                  0.700000            0.045918            
Instance_247_large  30001.808900        1876.000000         1832.000000         0.023454            392                 18                  0.777778            0.045918            
