Instance Name       Completion Time     Objective Value     Gap                 Nb. of ULs          Nb. of Desired ULs  Grid Occupancy      UL Occupancy        
Instance_455        1.124100            166                 0                   64                  10                  -                   -                   
Instance_456        1.073000            149                 0                   64                  10                  -                   -                   
Instance_457        1.261800            142                 0                   64                  10                  -                   -                   
Instance_458        1.245600            88                  0                   64                  10                  -                   -                   
Instance_459        1.161800            184                 0                   64                  10                  -                   -                   
Instance_46         0.816600            62                  0                   72                  5                   -                   -                   
Instance_460        1.199500            164                 0                   64                  10                  -                   -                   
Instance_461        1.325000            264                 0                   96                  10                  -                   -                   
Instance_462        1.279100            233                 0                   96                  10                  -                   -                   
Instance_463        1.387300            274                 0                   96                  10                  -                   -                   
Instance_464        1.260200            204                 0                   96                  10                  -                   -                   
Instance_465        1.487700            313                 0                   96                  10                  -                   -                   
Instance_466        1.446000            335                 0                   96                  10                  -                   -                   
Instance_467        1.744700            181                 0                   96                  10                  -                   -                   
Instance_468        1.434700            147                 0                   96                  10                  -                   -                   
Instance_469        1.252100            342                 0                   96                  10                  -                   -                   
Instance_47         0.782100            45                  0                   72                  5                   -                   -                   
Instance_470        1.283900            287                 0                   96                  10                  -                   -                   
Instance_471        1.458500            252                 0                   128                 10                  -                   -                   
Instance_472        1.425600            303                 0                   128                 10                  -                   -                   
Instance_473        1.352200            195                 0                   128                 10                  -                   -                   
Instance_474        1.403400            223                 0                   128                 10                  -                   -                   
Instance_475        1.562500            290                 0                   128                 10                  -                   -                   
Instance_476        1.395800            102                 0                   128                 10                  -                   -                   
Instance_477        1.423600            267                 0                   128                 10                  -                   -                   
Instance_478        1.400100            405                 0                   128                 10                  -                   -                   
Instance_479        1.342400            344                 0                   128                 10                  -                   -                   
Instance_48         0.828500            50                  0                   72                  5                   -                   -                   
Instance_480        1.283300            297                 0                   128                 10                  -                   -                   
Instance_481        1.448600            208                 0                   96                  10                  -                   -                   
Instance_482        1.341600            139                 0                   96                  10                  -                   -                   
Instance_483        1.598800            208                 0                   96                  10                  -                   -                   
Instance_484        1.388300            293                 0                   96                  10                  -                   -                   
Instance_485        1.521100            231                 0                   96                  10                  -                   -                   
Instance_486        1.373400            229                 0                   96                  10                  -                   -                   
Instance_487        1.284400            291                 0                   96                  10                  -                   -                   
Instance_488        1.304900            273                 0                   96                  10                  -                   -                   
Instance_489        1.399100            168                 0                   96                  10                  -                   -                   
Instance_49         0.840000            51                  0                   72                  5                   -                   -                   
Instance_490        1.507900            153                 0                   96                  10                  -                   -                   
Instance_491        1.626200            202                 0                   144                 10                  -                   -                   
Instance_492        1.565500            338                 0                   144                 10                  -                   -                   
Instance_493        1.618300            371                 0                   144                 10                  -                   -                   
Instance_494        1.691700            250                 0                   144                 10                  -                   -                   
Instance_495        1.626700            275                 0                   144                 10                  -                   -                   
Instance_496        1.663600            339                 0                   144                 10                  -                   -                   
Instance_497        1.561300            407                 0                   144                 10                  -                   -                   
Instance_498        1.685700            422                 0                   144                 10                  -                   -                   
Instance_499        1.741100            257                 0                   144                 10                  -                   -                   
Instance_5          0.537700            27                  0                   32                  5                   -                   -                   
Instance_50         0.858000            63                  0                   72                  5                   -                   -                   
Instance_500        1.613900            399                 0                   144                 10                  -                   -                   
Instance_501        1.738100            531                 0                   192                 10                  -                   -                   
Instance_502        1.768400            436                 0                   192                 10                  -                   -                   
Instance_503        1.758200            149                 0                   192                 10                  -                   -                   
Instance_504        2.950800            683                 0                   192                 10                  -                   -                   
Instance_505        1.959000            237                 0                   192                 10                  -                   -                   
Instance_506        1.787900            330                 0                   192                 10                  -                   -                   
Instance_507        1.726800            453                 0                   192                 10                  -                   -                   
Instance_508        1.721800            584                 0                   192                 10                  -                   -                   
Instance_509        1.787900            342                 0                   192                 10                  -                   -                   
Instance_51         0.815800            85                  0                   96                  5                   -                   -                   
Instance_510        1.784100            505                 0                   192                 10                  -                   -                   
Instance_511        1.619000            402                 0                   128                 10                  -                   -                   
Instance_512        1.806800            206                 0                   128                 10                  -                   -                   
